quote_date,underlying_symbol,dUND_PRICE,dUND_STRIKE,iEXPIRY,dEXPIRY,bIS_CALL_OPTION,dMKT_IMP_VOL,dRISK_FREE_RATE,dDIVIDEND_YIELD
2025-01-02,^SPX,5900.00,4400.00,30,0.08219178082191781,False,0.1832,0.0430,0.0125
2025-01-02,^SPX,5900.00,5000.00,30,0.08219178082191781,False,0.1610,0.0430,0.0125
2025-01-02,^SPX,5900.00,5500.00,30,0.08219178082191781,False,0.1423,0.0430,0.0125
2025-01-02,^SPX,5900.00,5900.00,30,0.08219178082191781,False,0.1284,0.0430,0.0125
2025-01-02,^SPX,5900.00,5900.00,30,0.08219178082191781,True,0.1281,0.0430,0.0125
2025-01-02,^SPX,5900.00,6100.00,30,0.08219178082191781,True,0.1245,0.0430,0.0125
2025-01-02,^SPX,5900.00,6500.00,30,0.08219178082191781,True,0.1298,0.0430,0.0125
2025-01-02,^SPX,5900.00,4400.00,90,0.24657534246575342,False,0.1912,0.0432,0.0125
2025-01-02,^SPX,5900.00,5000.00,90,0.24657534246575342,False,0.1723,0.0432,0.0125
2025-01-02,^SPX,5900.00,5900.00,90,0.24657534246575342,False,0.1451,0.0432,0.0125
2025-01-02,^SPX,5900.00,5900.00,90,0.24657534246575342,True,0.1449,0.0432,0.0125
2025-01-02,^SPX,5900.00,6500.00,90,0.24657534246575342,True,0.1417,0.0432,0.0125
